3: x:0, y:7, name:sda
5: x:0, y:6, name:scl
7: x:0, y:4, name:io4
8: x:2, y:7, name:txd
10: x:2, y:6, name:rxd,red led
11: x:3, y:7, name:io17
12: x:3, y:6, name:io18
13: x:0, y:3, name:io27
15: x:1, y:5, name:i022,note that above ys are not zero indexed
16: x:1, y:6, name:io23
18: x:2, y:4, name:io24
19: x:3, y:4, name:mosi
21: x:3, y:3, name:miso
22: x:2, y:3, name:io26
23: x:3, y:2, name:sclk
24: x:3, y:1, name:ce0
26: x:3, y:0, name:ce1
29: x:2, y:2, name:io6
31: x:2, y:1, name:io6,note above is io5
32: x:1, y:2, name:io12
33: x:0, y:1, name:io13
35: x:1, y:0, name:io19
36: x:2, y:0, name:io16
37: x:0, y:0, name:io26
38: x:1, y:1, name:io20
40: x:0, y:2, name:io13
